sNo	Company Name	URL
86	CCL	https://www.tickertape.in/stocks/ccl-products-india-CCLP
87	COALINDIA	https://www.tickertape.in/stocks/coal-india-COAL
88	CENTURYTEX	https://www.tickertape.in/stocks/century-textile-and-industries-CNTY
89	COROMANDEL	https://www.tickertape.in/stocks/coromandel-international-CORF
90	CASTROLIND	https://www.tickertape.in/stocks/castrol-india-CAST
91	COFORGE	https://www.tickertape.in/stocks/coforge-COFO
92	COLPAL	https://www.tickertape.in/stocks/colgate-palmolive-india-COLG
93	CONCOR	https://www.tickertape.in/stocks/container-corporation-of-india-CCRI
94	CHOLAHLDNG	https://www.tickertape.in/stocks/cholamandalam-financial-holdings-CHOL
95	COCHINSHIP	https://www.tickertape.in/stocks/cochin-shipyard-COCH
96	CENTRALBK	https://www.tickertape.in/stocks/central-bank-of-india-CBI
97	CHAMBLFERT	https://www.tickertape.in/stocks/chambal-fertilisers-and-chemicals-CHMB
98	CHOLAFIN	https://www.tickertape.in/stocks/cholamandalam-investment-and-finance-company-CHLA
99	CERA	https://www.tickertape.in/stocks/cera-sanitaryware-CERA
100	DABUR	https://www.tickertape.in/stocks/dabur-india-DABU
101	CYIENT	https://www.tickertape.in/stocks/cyient-CYIE
102	DALBHARAT	https://www.tickertape.in/stocks/dalmia-bharat-DALB
103	DEEPAKNTR	https://www.tickertape.in/stocks/deepak-nitrite-DPNT
104	CUMMINSIND	https://www.tickertape.in/stocks/cummins-india-CUMM
105	DEEPAKFERT	https://www.tickertape.in/stocks/deepak-fertilisers-and-petrochemicals-corp-DPFE
106	DELTACORP	https://www.tickertape.in/stocks/delta-corp-DELT
107	CSBBANK	https://www.tickertape.in/stocks/csb-bank-CSBB
108	CRISIL	https://www.tickertape.in/stocks/crisil-CRSL
109	CROMPTON	https://www.tickertape.in/stocks/crompton-greaves-consumer-electricals-CROP
110	DCMSHRIRAM	https://www.tickertape.in/stocks/dcm-shriram-DCMS
111	CREDITACC	https://www.tickertape.in/stocks/creditaccess-grameen-CRDE
112	CUB	https://www.tickertape.in/stocks/city-union-bank-CTBK
113	DMART	https://www.tickertape.in/stocks/avenue-supermarts-AVEU
114	DLF	https://www.tickertape.in/stocks/dlf-DLF
115	ELGIEQUIP	https://www.tickertape.in/stocks/elgi-equipments-ELGE
116	DIXON	https://www.tickertape.in/stocks/dixon-technologies-india-DIXO
117	ECLERX	https://www.tickertape.in/stocks/eclerx-services-ECLE
118	EIHOTEL	https://www.tickertape.in/stocks/eih-EIHO
119	EIDPARRY	https://www.tickertape.in/stocks/eid-parry-india-EIDP
120	DRREDDY	https://www.tickertape.in/stocks/drreddys-laboratories-REDY
121	EMAMILTD	https://www.tickertape.in/stocks/emami-EMAM
122	DIVISLAB	https://www.tickertape.in/stocks/divis-laboratories-DIVI
123	EICHERMOT	https://www.tickertape.in/stocks/eicher-motors-EICH
124	FLUOROCHEM	https://www.tickertape.in/stocks/gujarat-fluorochemicals-GUJL
125	ENGINERSIN	https://www.tickertape.in/stocks/engineers-india-ENGI
126	FINCABLES	https://www.tickertape.in/stocks/finolex-cables-FNXC
127	FACT	https://www.tickertape.in/stocks/fertilisers-and-chemicals-travancore-FCTL
128	FINPIPE	https://www.tickertape.in/stocks/finolex-industries-FINX
129	ESCORTS	https://www.tickertape.in/stocks/escorts-ESCO
130	GAEL	https://www.tickertape.in/stocks/gujarat-ambuja-exports-GAME
131	GAIL	https://www.tickertape.in/stocks/gail-india-GAIL
132	ERIS	https://www.tickertape.in/stocks/eris-lifesciences-ERIS
133	FORTIS	https://www.tickertape.in/stocks/fortis-healthcare-FOHE
134	FSL	https://www.tickertape.in/stocks/firstsource-solutions-FISO
135	FEDERALBNK	https://www.tickertape.in/stocks/federal-bank-FED
136	FINEORG	https://www.tickertape.in/stocks/fine-organic-industries-FINO
137	ENDURANCE	https://www.tickertape.in/stocks/endurance-technologies-cn-ENDU
138	FDC	https://www.tickertape.in/stocks/f-d-c-FDC
139	EPL	https://www.tickertape.in/stocks/epl-ESSL
140	EXIDEIND	https://www.tickertape.in/stocks/exide-industries-EXID
141	GMMPFAUDLR	https://www.tickertape.in/stocks/gmm-pfaudler-GMMP
142	GARFIBRES	https://www.tickertape.in/stocks/garware-technical-fibres-GRWL
143	GODFRYPHLP	https://www.tickertape.in/stocks/godfrey-phillips-india-GDFR
144	GALAXYSURF	https://www.tickertape.in/stocks/galaxy-surfactants-GALX
145	GODREJAGRO	https://www.tickertape.in/stocks/godrej-agrovet-GODE
146	GLENMARK	https://www.tickertape.in/stocks/glenmark-pharmaceuticals-GLEN
147	GNFC	https://www.tickertape.in/stocks/gujarat-narmada-valley-fertilizers-and-chemicals-GNFC
148	GICRE	https://www.tickertape.in/stocks/general-insurance-corporation-of-india-GENA
149	GESHIP	https://www.tickertape.in/stocks/great-eastern-shipping-company-GESC
150	GODREJCP	https://www.tickertape.in/stocks/godrej-consumer-products-GOCP
151	GMRINFRA	https://www.tickertape.in/stocks/gmr-infrastructure-GMRI
152	GLAXO	https://www.tickertape.in/stocks/glaxosmithkline-pharmaceuticals-GLAX
153	GODREJIND	https://www.tickertape.in/stocks/godrej-industries-GODI
