Date,Open,High,Low,Close,Adj Close,Volume
2013-12-09,1738.9000244140625,1770.0,1709.5,1763.75,1626.30322265625,1184977
2013-12-10,1763.0,1780.5999755859375,1746.0,1751.800048828125,1615.2843017578125,1048021
2013-12-11,1743.300048828125,1775.9000244140625,1735.0,1753.0,1616.3907470703125,668007
2013-12-12,1748.0,1748.0,1710.4000244140625,1714.800048828125,1581.1678466796875,478485
2013-12-13,1710.0,1719.949951171875,1682.5999755859375,1689.5999755859375,1557.931396484375,577334
2013-12-16,1687.0,1714.9000244140625,1676.0,1701.5999755859375,1568.996337890625,428119
2013-12-17,1710.199951171875,1731.699951171875,1694.949951171875,1701.9000244140625,1569.2730712890625,552326
2013-12-18,1703.75,1740.8499755859375,1695.4000244140625,1729.949951171875,1595.136962890625,791839
2013-12-19,1741.0,1798.0,1725.25,1780.550048828125,1641.7938232421875,1469454
2013-12-20,1795.0,1830.0,1774.949951171875,1809.6500244140625,1668.626220703125,1493300
2013-12-23,1809.0,1819.9000244140625,1795.5999755859375,1802.4000244140625,1661.9410400390625,681383
2013-12-24,1795.0,1802.550048828125,1775.25,1788.800048828125,1649.4010009765625,409326
2013-12-26,1785.0,1803.75,1778.449951171875,1793.5999755859375,1653.826904296875,362435
2013-12-27,1790.25,1800.699951171875,1763.0,1775.050048828125,1636.722412109375,503568
2013-12-30,1785.0,1794.8499755859375,1768.0,1777.199951171875,1638.70458984375,358010
2013-12-31,1780.0999755859375,1784.949951171875,1757.550048828125,1763.9000244140625,1626.441162109375,303542
2014-01-01,1770.0,1776.9000244140625,1756.550048828125,1764.0,1626.533447265625,214453
2014-01-02,1759.0,1814.800048828125,1759.0,1768.4000244140625,1630.5908203125,1565710
2014-01-03,1766.0,1808.6500244140625,1752.25,1798.5999755859375,1658.4371337890625,583504
2014-01-06,1805.0,1819.4000244140625,1792.550048828125,1807.699951171875,1666.827880859375,549379
2014-01-07,1838.0,1854.25,1820.0999755859375,1845.75,1701.9129638671875,1614578
2014-01-08,1850.0,1860.0,1827.050048828125,1837.5,1694.3060302734375,1398622
2014-01-09,1858.800048828125,1859.0,1801.0999755859375,1811.800048828125,1670.6085205078125,947521
2014-01-10,1811.0999755859375,1814.550048828125,1768.0,1794.0999755859375,1654.2882080078125,670378
2014-01-13,1800.0,1814.75,1765.0,1782.75,1643.8223876953125,559984
2014-01-14,1783.0,1791.800048828125,1759.0999755859375,1773.3499755859375,1635.1549072265625,530939
2014-01-15,1790.0,1807.0,1767.0999755859375,1800.0999755859375,1659.8203125,612338
2014-01-16,1803.0999755859375,1810.800048828125,1785.0,1789.8499755859375,1650.3692626953125,429527
2014-01-17,1778.199951171875,1808.800048828125,1766.300048828125,1775.199951171875,1636.860595703125,310359
2014-01-20,1774.0,1797.3499755859375,1762.0,1778.199951171875,1639.626953125,340046
2014-01-21,1782.0,1812.699951171875,1782.0,1801.9000244140625,1661.47998046875,541958
2014-01-22,1805.5,1819.0,1795.0,1807.8499755859375,1666.96630859375,424767
2014-01-23,1796.0999755859375,1819.9000244140625,1788.449951171875,1793.800048828125,1654.0113525390625,493794
2014-01-24,1784.9000244140625,1804.9000244140625,1769.25,1774.25,1635.9847412109375,377713
2014-01-27,1755.0,1755.0,1690.0,1702.300048828125,1569.6419677734375,923081
2014-01-28,1715.0,1751.5,1540.4000244140625,1566.0,1443.9635009765625,6599087
2014-01-29,1615.199951171875,1697.800048828125,1615.199951171875,1673.8499755859375,1543.4088134765625,6737926
2014-01-30,1668.0,1674.0,1625.5999755859375,1635.9000244140625,1508.4161376953125,1651215
2014-01-31,1655.0,1655.0,1620.8499755859375,1636.25,1508.7388916015625,729347
2014-02-03,1620.0,1660.0,1613.050048828125,1618.5,1492.3724365234375,957497
2014-02-04,1601.0,1630.0,1590.0,1619.6500244140625,1493.4327392578125,703285
2014-02-05,1619.0,1623.0999755859375,1602.0999755859375,1606.699951171875,1481.4918212890625,627278
2014-02-06,1610.199951171875,1644.949951171875,1593.0,1639.699951171875,1511.9200439453125,1237835
2014-02-07,1654.949951171875,1670.4000244140625,1648.5,1664.949951171875,1535.2025146484375,921283
2014-02-10,1665.0,1701.5999755859375,1665.0,1688.8499755859375,1557.2398681640625,896683
2014-02-11,1690.25,1698.0,1668.0999755859375,1678.1500244140625,1547.3736572265625,294694
2014-02-12,1685.0,1689.800048828125,1643.0999755859375,1647.699951171875,1519.2965087890625,442825
2014-02-13,1646.0,1658.800048828125,1632.5,1641.25,1513.3492431640625,439092
2014-02-14,1642.0,1653.550048828125,1615.6500244140625,1643.4000244140625,1515.3319091796875,451950
2014-02-17,1635.0,1674.9000244140625,1635.0,1665.699951171875,1535.8939208984375,617227
2014-02-18,1675.0,1733.6500244140625,1666.0999755859375,1708.449951171875,1575.3125,954637
2014-02-19,1714.0,1721.0,1692.0,1698.0999755859375,1565.7689208984375,341015
2014-02-20,1697.0,1706.0,1674.199951171875,1683.300048828125,1552.122314453125,344996
2014-02-21,1686.0999755859375,1702.4000244140625,1671.550048828125,1675.5999755859375,1545.0224609375,340948
2014-02-24,1675.0,1695.0,1645.800048828125,1684.4000244140625,1553.13671875,326898
2014-02-25,1690.0999755859375,1693.9000244140625,1672.4000244140625,1678.0,1547.2353515625,245384
2014-02-26,1668.0,1684.0999755859375,1651.0,1664.050048828125,1534.37255859375,584837
2014-02-28,1640.0,1659.050048828125,1573.0,1589.0,1465.1712646484375,1768632
2014-03-03,1582.0,1616.9000244140625,1575.0,1582.199951171875,1458.9010009765625,1060385
2014-03-04,1577.0,1603.0,1550.0,1597.4000244140625,1472.9166259765625,797764
2014-03-05,1614.699951171875,1636.949951171875,1593.550048828125,1625.4000244140625,1498.7344970703125,728060
2014-03-06,1629.699951171875,1657.0,1618.0,1650.449951171875,1521.832275390625,422906
2014-03-07,1655.0,1747.0,1640.199951171875,1735.050048828125,1599.839599609375,944177
2014-03-10,1730.0,1817.25,1716.6500244140625,1801.0999755859375,1660.742431640625,1324717
2014-03-11,1804.0,1811.699951171875,1744.800048828125,1754.1500244140625,1617.4510498046875,703249
2014-03-12,1725.0,1791.0,1680.0,1764.050048828125,1626.5799560546875,1443683
2014-03-13,1766.0,1790.9000244140625,1733.0,1747.3499755859375,1611.18115234375,641720
2014-03-14,1715.0,1756.3499755859375,1710.0,1738.449951171875,1602.974609375,588996
